text,label
HI Team I m Samarth Patel and I m filling one complaint against fake pages on instagram fashionn junctionn and fashionn villaaaa they has cheat me by saying that they will give me apple airpod pro in plus are and I have transfer the amount via Paytm but some days later one of their EXECUTIVE call me and said that ur products are stucked at vendors you need to pay Percent of by paytm but they didnot mentioned by paytm wallet or paytm bank so I have done the payment some of Rs but after they received the money into their account they are saying that I want in paytm wallet please send me into that so I have sent that also now total amount I paid him was Rs so now they are not replying on my messages and not picking up the call also in the message I m giving you the numbers of that person whom I talked to phone and for payment they shared the QR Code for paytm so I m sharing that also Requesting you all please find them and take my money back please that helps me a lot thank you,Other Cyber Crime
getting threats from this number and forcing me to pay amount of Rs texting me everyday and asking me to pay the money or else he will defame me and my family will suffergetting threats from this number and forcing me to pay amount of Rs texting me everyday and asking me to pay the money or else he will defame me and my family will suffer,Other Cyber Crime
Mughe WhatsApp pr blackmail kiya ja rha hai mughe ek no mila maine ush pr hii ka message kr diya udhr sy reply aaya hai ke hii aur mai paid girl hu demo call free me deti hu phir udhr sy call aaya nude aur uske kuch tym baad kuch nude pics send krk mughe lakin mai video call k time pr apne phone k camera pr ungali rakh krk cover kr diya tha mughe abh mera pics phon pay sy nikl krk black mail kiya ja rha hai ke upload kr dungi fb aur Instagram pr,Other Cyber Crime
nameANKUR SHARMA addBUHANA WARD NO pin disti JHUNJHU ps BUHANA mob gmailANKULSHRMAGMAILCOM faroad byPHONE PAY bankSBI AC NO IFSCSBIN suchna karta ne bataya ki UNHO NE CHROME KHOLE PAR EK LINK AAYA TO SUCHNA KARTA KE CILIK KARNE PAR PESE KAT GAYE rsrupay trx idT UTR NO TIMEPM DATE TOTAL AMOUNTRUPAY SUCHNA KARTA KE PASS FARODAR KI KOI JANKARI NHISUCHNA KARTA NE BATAYA KI PHONE PAY PAR MANOJ BHASKAR KAR KE NAM AARHA THA,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
Mr Shahrukh Khalid Shaikh owner of Shah Info Source Pvt Ltd has taken Rs for Laptop deposit which is refundable from to people including me for the sake of providing work from home job We have joined months ago and have not received payment of months Neither we have received laptop nor we have got our Rs refund He is not in contact since December His office address is th floor Parag isnt Chandivali Junction Saki Vihar Road Andheri E Mumbai,Other Cyber Crime
I have got a call from this number that an FIR is filed against me for an obscene video and I have to pay to the Youtube social media department to delete that video They had a video call and shared a ID with a fake department as CIB and mentioned that a tracer is put on me to arrest me,Other Cyber Crime
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
FRAUD THROUGH UPI FRAUD GOOGLE PE BANK CENTRAL BANK OF INDIA ACCOUNT NUMBER TOTAL AMOUNT PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION,Financial Fraud Crimes
Sir With due respect some social media user are circulating pictures of one deceased woman kousar jan anantanag Please make immidiate press realease enmass to ensure that people will discard to upload any picture which can be used by any ill minded hacker or poronographers for their self benefit and can hurt religious and social sentiments of whole society I request your higness to take necessary action and make immidiate press release in this regard So that our police department can make proper investigations else it can be harful for police department and instigate voilence as well Please do imidiate action in this regard Thanking you Regards,Women/Child Related Crime
I have seen illegally publishing sexual photocopy of girls in Twitter account My sister photo was uploaded in the account and most of the girls affected by this account Kindly find punish the culprits,Women/Child Related Crime
Mere pass ek call aaya ki apko ek id di jaegi jisme apko recharge krne par ya light bill bhrne par comminson milega aur ye id lene par biometric device morpho device free di jaegi ab koi bhi company ka admi phone nhi utha rha hai na hi koi message ka reply de rhi hai aur eye kha gya rupay me id bnegi aur mene unke khate me rupay dal diye,Financial Fraud Crimes
victim searched in google for Paytm customer care number and contacted suspect asked to install anydesk appvictim installed any desk app amount lost suspect phno citi bank credit card no ICICI Bank credit card Amount lostRs,Financial Fraud Crimes
Good afternoon sir my name is sharath kumar sir nadu post lo naptol nuchi post vachindi sir thisi chuste andhulo oka card vachindi sir a card pain oka white paint tho athiki unnadhini gikinam sir andhulo lks undhi sir dhanipaina unna number ni call cheste rp pampandi central tax katali ani valla id card anni send chesaru sir vallaku google pay nundi pampina sir malli vallu call lift chestaleru anni rojulu naku e number theliyadhu sir near Mahabubabad police station lo vetle canistable patinchukole sir nuvvu bayaram police station lo camplain ivvu annaru sir plz help sur,Other Cyber Crime
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALA JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
This gay call behalf of dhani parsonal loan department Nd say this mony is Loan passing charge Bt after i pay after other charge demand D i pay After i alrady give thair rs nd after final amount give Sir I belong very poor midalclass family my mom in hospital so I collect money by loan bt this gay frod with me Plz recovered my mony,Financial Fraud Crimes
saying to send gift from abroad they did fraud with me of rs kindly help me,Other Cyber Crime
Identity theft Fake Customer Care Service Fraud Google Victim Search for icici credit card customer care in google and got connected to Fraudster and victim followed the instructions told by fraudster and downloaded AnyDesk app and lost the amount,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
My friend informed me about a rape video in justindianporncom site Prima facia it looks like a teacher forcing her student to do sexit looks very disturbing some people may experiment this which can be big trouble for countryso please remove this video,Women/Child Related Crime
The person named rinku called me and tell me that my father asked him to send money but the moment when i send the money i realised the person whom i am talking is fake please recover my money back to me,Financial Fraud Crimes
This is to Inform you that Many people have invested In CryptoMining through this Mobile app name Sharehash It Invests in many mining Cryptocurrencies namely Helium Ethereum and many others They assure a guaranteed return of profit In the Beginning I Invested money and received the profit But after that invested Contract of a Total RS Principal with a profit of still not received the Money From th January onward Sharehash app was not Working and even their Official website was not working we tried reaching out to them through email but we did not get any response from their side on social media Twitter we came to know that the company Sharehash is a fraud and Many people have lost their money by investing in this So we hereby request you to kindly take up this issue at the earliest and do the needful I have also attached the Contract and also the screenshot of the trend on Twitter about the Company We have already made a complaint to the CPGram of the Department of Administrative Reforms vide Greviance Application number DARPGE the application was disposed of as it was not pertaining to the Ministry of Corporate Affairs So I am now it representing before your kind authority I believe that Justice will be served and will be getting the principal amount,Financial Fraud Crimes
He is selling fraud products He is illegally hacking others cards He is asking for advance payment without any proof He surely is fraud this user must be punished and strict action against him should be taken,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasn’t normal. I thought it was a technical glitch, but now I’m not so sure. Honestly, it’s such a mess, and I don’t even know where to start. I’ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My work account was transction, and then I got locked out of everything. I feel so helpless, like there’s nothing I can do to fix this. No matter how many times I change my password, it’s like someone’s always one step ahead. Even my tablet isn’t working right anymore. It’s so stange how everything just fell apart after that one email.",Other Cyber Crime
